first_name,last_name,email,username,area_name,middleName,dateOfBirth,embassy,country,authorized-election-ids,sex,clusteredPrecinct,overseasReferences,password_salt,hashed_password
Ramon,Buenaventura,user11@gmail.com,8f623be0-10a6-4371-9e4c-6108d3c40673,JAPAN,Joaquin,1928-07-19,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,M,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Angelica,Opida,user12@gmail.com,31dc2acd-31e1-4cac-aded-d7d08ac82a14,GREECE (HELLENIC REPUBLIC),Sandoval,1925-08-08,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,M,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Ericka,Salcedo,user13@gmail.com,219cfd44-3e57-4d4c-b181-23438c04f975,GREECE (HELLENIC REPUBLIC),Dizon,1962-11-17,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,F,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Daisy,Valencia,user14@gmail.com,a16ab071-1e4b-42c9-8e03-6d6b3b87a4af,UNITED STATES OF AMERICA,Valencia,1992-02-08,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Eunice,Laurel,user15@gmail.com,bb9bec02-4832-4449-bb0e-e46e1fe664a6,GREECE (HELLENIC REPUBLIC),Fontanilla,1977-10-05,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,M,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Jerome,Alcantara,user16@gmail.com,90423e17-c53d-403f-a477-f412e640330e,UNITED STATES OF AMERICA,Hernandez,1933-11-10,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,M,0075A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Julius,Valencia,user17@gmail.com,e9ad29ae-d52c-411f-adf9-c3e73a263940,WASHINGTON DC USA,Buenafe,1989-07-19,Washington D.C. PE,United States of America/Washington D.C. PE,WASHINGTON D.C. PE - General Election|WASHINGTON D.C. PE - Test Voting,M,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Charmaine,Umali,user18@gmail.com,6146a307-0551-4f6f-b02e-a57629424e2b,UNITED ARAB EMIRATES,Buenaventura,2006-04-17,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Justin,Mendoza,user19@gmail.com,a3305112-62cd-4444-917a-1ba274073a39,GREECE (HELLENIC REPUBLIC),Laurel,1952-02-24,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,M,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Samantha,Isidro,user20@gmail.com,c9124ad6-68a5-4a30-ab33-0f60441dec86,WASHINGTON DC USA,De Guzman,2002-10-08,Washington D.C. PE,United States of America/Washington D.C. PE,WASHINGTON D.C. PE - General Election|WASHINGTON D.C. PE - Test Voting,F,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Joel,Laurel,user21@gmail.com,83e27fc7-6ca6-4215-af44-cfedde4f8453,UNITED ARAB EMIRATES,Soriano,1977-10-19,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,F,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Marco,Paraiso,user22@gmail.com,99210f63-2316-4e61-8eac-fe87a5612c7b,WASHINGTON DC USA,Mamaril,2000-11-13,Washington D.C. PE,United States of America/Washington D.C. PE,WASHINGTON D.C. PE - General Election|WASHINGTON D.C. PE - Test Voting,M,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Paolo,Narvaez,user23@gmail.com,6ca0a9a7-5340-4fdb-9002-78898f2812d5,JAPAN,Wong,1987-02-08,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,M,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Norman,Salcedo,user24@gmail.com,b40b2dde-cbd5-4d58-b734-e8605864b12a,UNITED ARAB EMIRATES,Joaquin,1960-05-15,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,F,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Janet,Kasilag,user25@gmail.com,eddb50fe-c872-42c1-b246-717b567c72e5,UNITED STATES OF AMERICA,Quibuyen,1974-12-11,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Leo,Zafra,user26@gmail.com,cd89eb5a-8caa-4ddb-93c1-d77cb4572bf5,GREECE (HELLENIC REPUBLIC),Capistrano,1982-11-06,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,M,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Louie,Opida,user27@gmail.com,c5637371-f55d-46a3-98f2-324aa8aeed84,GREECE (HELLENIC REPUBLIC),Fontanilla,1965-09-01,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,F,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Aileen,Yuson,user28@gmail.com,94073f7e-8d88-4b08-bf9c-1830f2791e80,UNITED ARAB EMIRATES,San Jose,1960-10-28,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Arthur,Gatchalian,user29@gmail.com,5c85731f-ed6a-4e78-85bb-b1ffe58036bd,UNITED STATES OF AMERICA,Mamaril,1940-05-14,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,M,0075A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Aileen,Isidro,user30@gmail.com,dacadb04-721e-4acc-a520-e57d715b6216,GREECE (HELLENIC REPUBLIC),Isidro,1998-07-01,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Bryan,Umali,user31@gmail.com,72955ede-a3e4-444b-ab68-89eb672ca7d8,UNITED STATES OF AMERICA,Buenafe,1989-02-23,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Christine,Valencia,user32@gmail.com,8e6cb453-4762-4e84-838c-8424630d49c6,JAPAN,Tabora,1970-02-23,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Daryl,Hernandez,user33@gmail.com,5333dbac-a683-4bd0-bb71-b36b53b4fbc2,UNITED STATES OF AMERICA,Mamaril,1925-11-04,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Esther,Gatchalian,user34@gmail.com,410d07d4-96e0-4e04-b5d3-2e0a5f96b8c5,UNITED ARAB EMIRATES,Samar,1964-03-23,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,F,0012A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Raquel,De Guzman,user35@gmail.com,17c4d22f-8506-4bde-9b4f-f471822fa92a,UNITED STATES OF AMERICA,Quezon,1939-10-07,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Phoebe,Paraiso,user36@gmail.com,6b7bf1dd-2e5b-4423-9051-6c7738993673,JAPAN,Yuson,1943-07-19,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,M,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Marlon,Encarnacion,user37@gmail.com,2f62b138-2784-47f0-9a8a-c5bde099d90b,UNITED ARAB EMIRATES,Soriano,1942-02-04,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Donna,Quibuyen,user38@gmail.com,41e4570f-2cc9-4de9-8ad1-9cae1173cac0,UNITED STATES OF AMERICA,Umali,1982-04-01,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Dianne,Quibuyen,user39@gmail.com,72a48b18-1856-428b-a158-3bc1db022c9a,JAPAN,Isidro,1939-03-26,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Harold,Quibuyen,user40@gmail.com,5b6d57c2-99bc-42cf-85a7-fd57412e58f3,UNITED STATES OF AMERICA,Alcantara,1955-03-27,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,M,0075A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Lara,Joaquin,user41@gmail.com,d054f4a6-fd8e-4f98-8fa9-acc12b34155b,JAPAN,Sorsogon,1926-12-05,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Clark,Valencia,user42@gmail.com,fe8f0e31-f058-4ffd-a353-c13ac59f34e3,UNITED ARAB EMIRATES,Yuson,1980-05-27,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Roberto,Vargas,user43@gmail.com,d06655d4-ebc8-45d4-8f46-a08a7fe95d57,JAPAN,Magsaysay,1963-04-02,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Gino,Kasilag,user44@gmail.com,4f04ea3c-286a-4b2f-9689-ea9bb833304f,UNITED ARAB EMIRATES,Soriano,1999-03-11,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,F,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Aubrey,Paraiso,user45@gmail.com,77f04bfe-1104-48c8-9b24-c467af808a1c,GREECE (HELLENIC REPUBLIC),Rosario,1959-11-08,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Samantha,Hernandez,user46@gmail.com,e8314f51-305f-4a3c-ba13-62799b19bd2c,UNITED ARAB EMIRATES,Rosario,1977-10-22,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Therese,Tabora,user47@gmail.com,4269bdda-be72-4e11-a617-1230e578916f,JAPAN,Buenafe,2004-02-19,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Adrian,Laurel,user48@gmail.com,bae6fe63-8b90-4724-9ac1-9c372cb64104,JAPAN,Kasilag,1978-01-25,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Chris,Narvaez,user49@gmail.com,83be6f49-a4c8-461c-a336-5cbb6d0fd9be,UNITED STATES OF AMERICA,Valdez,1940-10-18,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,M,0075A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Chris,Gatchalian,user50@gmail.com,eb212c97-922b-4726-bc1d-091976c0d58c,UNITED ARAB EMIRATES,Salcedo,1946-05-13,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,F,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Ella,Umali,user51@gmail.com,6b5b1d0b-96a8-4c76-a43e-d77364c4a42c,UNITED ARAB EMIRATES,Soriano,1987-05-18,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Megan,Cabrera,user52@gmail.com,329f111c-88ce-4ce0-8fff-c74496a6c8f3,WASHINGTON DC USA,Villarin,2006-06-26,Washington D.C. PE,United States of America/Washington D.C. PE,WASHINGTON D.C. PE - General Election|WASHINGTON D.C. PE - Test Voting,M,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Fernando,Mendoza,user53@gmail.com,c4756805-882c-4180-bbf4-75cef9095adf,JAPAN,Opida,1931-04-02,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,M,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Cecilia,Buenaventura,user54@gmail.com,8ca999a0-5638-4dda-bd88-a457c8fdba69,UNITED ARAB EMIRATES,Bulacan,1989-11-05,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,F,0012A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Ruth,De Guzman,user55@gmail.com,c2d16305-a0d8-4533-a8ab-98111c09f144,UNITED STATES OF AMERICA,Masbate,1990-05-03,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Aubrey,Joaquin,user56@gmail.com,1dafd8e2-fe00-4732-a74d-edd0f926d26d,JAPAN,Mamaril,1971-09-10,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Perry,Buenaventura,user57@gmail.com,9530b0a2-074b-416a-b432-cb42cdd8672e,UNITED STATES OF AMERICA,Hernandez,1932-09-22,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Arthur,Buenaventura,user58@gmail.com,580f709c-9419-49e2-87df-93a322d9bfc3,GREECE (HELLENIC REPUBLIC),Zafra,1956-02-11,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,M,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Diana,Valencia,user59@gmail.com,1e632671-f4e2-48d4-923c-b43c737cf7c6,JAPAN,Buenaventura,1999-07-29,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Lianne,Umali,user60@gmail.com,8ba7642f-2cb4-4ce3-a5f0-7604feb352a0,WASHINGTON DC USA,Masbate,1926-11-18,Washington D.C. PE,United States of America/Washington D.C. PE,WASHINGTON D.C. PE - General Election|WASHINGTON D.C. PE - Test Voting,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Kristine,Umali,user61@gmail.com,0cbf3056-18e1-4b14-a80a-e7a511c0b2f4,GREECE (HELLENIC REPUBLIC),Joaquin,1968-02-09,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Esther,Laurel,user62@gmail.com,678c2d17-4d64-439f-a10f-072d47e9e618,WASHINGTON DC USA,Laguna,2005-07-15,Washington D.C. PE,United States of America/Washington D.C. PE,WASHINGTON D.C. PE - General Election|WASHINGTON D.C. PE - Test Voting,M,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Ina,Quibuyen,user63@gmail.com,f96b0d27-dbba-4248-acd9-e6bd935f065a,JAPAN,Fontanilla,1969-10-26,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Arthur,Zafra,user64@gmail.com,e51ca404-3099-4b19-ae10-74c931fcc141,UNITED ARAB EMIRATES,Laurel,1996-02-06,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,F,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Mia,Umali,user65@gmail.com,59ab48d6-b4da-42fd-8589-e02c4b40f622,JAPAN,Tagle,1995-11-16,Tokyo PE,Japan/Tokyo PE,TOKYO PE - General Election|TOKYO PE - Test Voting,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Ramon,Alcantara,user66@gmail.com,f75dd6e1-58cd-4d28-a806-e4c97d3118a2,UNITED STATES OF AMERICA,Hernandez,1974-07-20,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Faith,Wong,user67@gmail.com,c78117f2-46c0-430f-83b4-3f082d6bd479,GREECE (HELLENIC REPUBLIC),Mamaril,1974-04-27,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
